county,priority,sourceType,url,use
"Polk","1","clerk-tax-deed-page","https://www.polkcountyclerk.net/","authority page; sale rules, case links, notices, and manual verification path"
"Polk","1","auction-calendar","https://polk.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Polk","1","auction-platform","https://polk.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Polk","1","property-appraiser","https://www.polkpa.org/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Polk","1","official-records","https://pro.polkcountyclerk.net/PRO/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Marion","2","clerk-tax-deed-page","https://www.marioncountyclerk.org/","authority page; sale rules, case links, notices, and manual verification path"
"Marion","2","auction-calendar","https://marion.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Marion","2","auction-platform","https://marion.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Marion","2","property-appraiser","https://www.pa.marion.fl.us/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Marion","2","official-records","https://www.marioncountyclerk.org/records-search","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Citrus","3","clerk-tax-deed-page","https://www.citrusclerk.org/","authority page; sale rules, case links, notices, and manual verification path"
"Citrus","3","auction-calendar","https://citrus.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Citrus","3","auction-platform","https://citrus.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Citrus","3","property-appraiser","https://www.citruspa.org/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Citrus","3","official-records","https://scorss.clerk.citrus.fl.us/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Orange","4","clerk-tax-deed-page","https://www.myorangeclerk.com/","authority page; sale rules, case links, notices, and manual verification path"
"Orange","4","auction-calendar","https://orange.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Orange","4","auction-platform","https://orange.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Orange","4","property-appraiser","https://www.ocpafl.org/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Orange","4","official-records","https://or.occompt.com/recorder/web/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Lake","5","clerk-tax-deed-page","https://www.lakecountyclerk.org/","authority page; sale rules, case links, notices, and manual verification path"
"Lake","5","auction-calendar","https://lake.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Lake","5","auction-platform","https://lake.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Lake","5","property-appraiser","https://www.lakecopropappr.com/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Lake","5","official-records","https://officialrecords.lakecountyclerk.org/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Seminole","6","clerk-tax-deed-page","https://www.seminoleclerk.org/","authority page; sale rules, case links, notices, and manual verification path"
"Seminole","6","auction-calendar","https://seminole.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Seminole","6","auction-platform","https://seminole.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Seminole","6","property-appraiser","https://www.scpafl.org/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Seminole","6","official-records","https://recording.seminoleclerk.org/DuProcessWebInquiry/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Osceola","7","clerk-tax-deed-page","https://osceolaclerk.com/","authority page; sale rules, case links, notices, and manual verification path"
"Osceola","7","auction-calendar","https://osceola.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule; may require manual browser due to anti-bot protections"
"Osceola","7","auction-platform","https://osceola.realtaxdeed.com/","prior sale/result mining and sale documents when publicly accessible"
"Osceola","7","property-appraiser","https://ira.property-appraiser.org/","parcel use, acreage, land/improvement values, owner/grantee mailing, buildability screens"
"Osceola","7","official-records","https://osceolaclerk.com/online-records-search/","recorded tax deed/grantee evidence when auction result pages omit buyer names"
"Hernando","8","clerk-tax-deed-page","https://hernandoclerk.com/","authority page; sale rules, case links, notices, and manual verification path"
