sourceType,submarket,county,url,status,rowsFound,notes
small-local-builder-directory,Winter Park,Orange,https://www.buildzoom.com/winter-park-fl/home-builders,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,Winter Park,Orange,https://www.buildzoom.com/winter-park-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,Winter Park,Orange,Winter Park FL land investor buy lots contact; Winter Park FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
small-local-builder-directory,Maitland (Orange County side),Orange,https://www.buildzoom.com/maitland-fl/home-builders,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,Maitland (Orange County side),Orange,https://www.buildzoom.com/maitland-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,Maitland (Orange County side),Orange,Maitland (Orange County side) FL land investor buy lots contact; Maitland (Orange County side) FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
small-local-builder-directory,Winter Garden,Orange,https://www.buildzoom.com/winter-garden-fl/home-builders,ok,24,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,Winter Garden,Orange,https://www.buildzoom.com/winter-garden-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,Winter Garden,Orange,Winter Garden FL land investor buy lots contact; Winter Garden FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
small-local-builder-directory,Windermere,Orange,https://www.buildzoom.com/windermere-fl/home-builders,ok,23,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,Windermere,Orange,https://www.buildzoom.com/windermere-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,Windermere,Orange,Windermere FL land investor buy lots contact; Windermere FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
small-local-builder-directory,Dr Phillips,Orange,https://www.buildzoom.com/orlando-fl/home-builders,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,Dr Phillips,Orange,https://www.buildzoom.com/orlando-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,Dr Phillips,Orange,Dr Phillips FL land investor buy lots contact; Dr Phillips FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
small-local-builder-directory,College Park,Orange,https://www.buildzoom.com/orlando-fl/home-builders,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,College Park,Orange,https://www.buildzoom.com/orlando-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,College Park,Orange,College Park FL land investor buy lots contact; College Park FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
small-local-builder-directory,Clermont,Lake,https://www.buildzoom.com/clermont-fl/home-builders,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,Clermont,Lake,https://www.buildzoom.com/clermont-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,Clermont,Lake,Clermont FL land investor buy lots contact; Clermont FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
small-local-builder-directory,Longwood,Seminole,https://www.buildzoom.com/longwood-fl/home-builders,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
small-local-builder-directory,Longwood,Seminole,https://www.buildzoom.com/longwood-fl/general-contractors,ok,25,"BuildZoom public contractor directory; activity signal, not validated buyer appetite."
public-search-builder-investor,Longwood,Seminole,Longwood FL land investor buy lots contact; Longwood FL infill builder land acquisition,attempted,0,Bing public search for first-party builder/investor candidates; rows need buy-box call validation.
