county,sourceType,url,use
"Bay","clerk-tax-deed-page","https://www.baycoclerk.com/public-records/property-sales/tax-deed-auctions/","authority page; confirms auction instructions/source path"
"Bay","auction-calendar","https://bay.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule"
"Bay","auction-platform","https://bay.realtaxdeed.com/","prior sale/result mining when public history is available"
"Bay","tax-deed-search","https://records2.baycoclerk.com/TaxDeed/","case/document lookup and recorded tax deed buyer extraction"
"Bay","property-appraiser","https://www.baypa.net/","parcel use, owner/grantee mailing, land/vacant classification"
"Bay","official-records","https://records2.baycoclerk.com/","recorded tax deed/grantee audit trail"
"Walton","clerk-tax-deed-page","https://waltonclerkfl.gov/foreclosuretax","authority page; confirms auction instructions/source path"
"Walton","auction-calendar","https://www.walton.realforeclose.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule"
"Walton","auction-platform","https://www.walton.realforeclose.com/","prior sale/result mining when public history is available"
"Walton","tax-deed-search","http://taxsmart.clerkofcourts.co.walton.fl.us/","case/document lookup and recorded tax deed buyer extraction"
"Walton","property-appraiser","https://www.waltonpa.com/","parcel use, owner/grantee mailing, land/vacant classification"
"Walton","official-records","https://orsearch.clerkofcourts.co.walton.fl.us/","recorded tax deed/grantee audit trail"
"Okaloosa","clerk-tax-deed-page","https://okaloosaclerk.com/board-services/tax-deed-sales/","authority page; confirms auction instructions/source path"
"Okaloosa","auction-calendar","https://okaloosa.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR","upcoming cases and sale schedule"
"Okaloosa","auction-platform","https://okaloosa.realtaxdeed.com/","prior sale/result mining when public history is available"
"Okaloosa","tax-deed-search","https://okaloosaclerk.com/board-services/tax-deed-sales/","case/document lookup and recorded tax deed buyer extraction"
"Okaloosa","property-appraiser","https://www.okaloosapa.com/","parcel use, owner/grantee mailing, land/vacant classification"
"Okaloosa","official-records","https://clerkapps.okaloosaclerk.com/BenchmarkWeb2/","recorded tax deed/grantee audit trail"
