buyer_current_owner,mailing_city,mailing_state,mailing_zip,lehigh_current_holdings_count,count_lots_30k_plus,avg_acres_30k_plus,median_acres_30k_plus,avg_price_30k_plus,median_price_30k_plus,distinct_folios_30k_plus,distinct_deed_docs_30k_plus,count_lots_50k_plus,avg_acres_50k_plus,median_acres_50k_plus,avg_price_50k_plus,median_price_50k_plus,distinct_folios_50k_plus,distinct_deed_docs_50k_plus,latest_sale_year_found,package_caution,website,phone,email,contact_source_urls,contact_status,contact_notes
GN1 INVESTING LLC,LEHIGH ACRES,FL,33971,107,73,0.2436,0.237,235436.14,114000.0,52,45,56,0.2429,0.2351,296375.68,115000.0,39,36,2026,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/lehigh-acres/gn1-investing-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/GN1%20INVESTING%20LLC/Page1,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
WEI SONG REALTY INVESTMENT LLC,FORT MYERS,FL,33913,126,67,0.2727,0.2847,117817.91,57000.0,58,39,42,0.2726,0.2847,163928.57,112500.0,36,28,2025,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/fort-myers/wei-song-realty-investment | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/WEI%20SONG%20REALTY%20INVESTMENT%20LLC/Page1,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
D R HORTON INC,FORT MYERS,FL,33966,36,32,0.2491,0.25,160281.19,85000.0,27,23,25,0.251,0.25,193799.92,98000.0,22,19,2026,possible package-repeat in examples,https://www.drhorton.com,817.390.8200,InvestorRelations@drhorton.com,https://www.drhorton.com/florida/southwest-florida | https://investor.drhorton.com/resources/investor-contact,high,Official D.R. Horton public website and investor/media contact page; no Lehigh land-acquisition-specific email found. Contact URL: https://investor.drhorton.com/resources/investor-contact
SANCHEZ ENTERPRISE INVESTMENTS,NAPLES,FL,34120,37,37,0.2532,0.25,219500.59,102000.0,22,22,22,0.2509,0.2455,344573.86,123750.0,13,13,2026,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/naples/sanchez-enterprise-investments-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/SANCHEZ%20ENTERPRISE%20INVESTMENTS/Page1,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
INVERSION EN FLORIDA USA INC,DORAL,FL,33172,26,27,0.2618,0.2583,89037.04,82000.0,25,20,22,0.261,0.2583,100409.09,82000.0,20,15,2026,possible package-repeat in examples,,,,https://www.flcompanyregistry.com/companies/inversion-en-florida-usa-inc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/INVERSION%20EN%20FLORIDA%20USA%20INC/Page1,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
MARMELO LLC,AVENTURA,FL,33180,14,22,0.2474,0.2501,396347.27,466220.0,14,14,22,0.2474,0.2501,396347.27,466220.0,14,14,2025,possible package-repeat in examples,,,,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/MARMELO%20LLC/Page1,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
FRANCO & ZEGADA LLC,NAPLES,FL,34109,54,20,0.2353,0.2296,130000.0,130000.0,20,16,20,0.2353,0.2296,130000.0,130000.0,20,16,2024,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/naples/franco-zegada-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/FRANCO%20%26%20ZEGADA%20LLC/Page1,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
RACCAH HOLDINGS LLC,AVENTURA,FL,33180,29,23,0.243,0.2428,69213.04,54500.0,21,15,18,0.2419,0.237,75188.89,63100.0,18,13,2026,possible package-repeat in examples,,,,https://www.bizprofile.net/fl/aventura/raccah-holdings-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/RACCAH%20HOLDINGS%20LLC/Page1,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
TRIPLE DONG INVESTMENT LLC,FORT MYERS,FL,33905,28,20,0.2832,0.2869,68475.0,55000.0,17,11,16,0.2874,0.287,75218.75,55000.0,14,10,2025,possible package-repeat in examples,,,,https://www.bizapedia.com/fl/triple-dong-investment-llc.html | https://www.bizprofile.net/fl/fort-myers/triple-dong-investment-llc,low,No verified public business-facing website/phone/email found; use direct mail/manual deed/SOS follow-up.
JAJ DONG HOMES INC,FORT MYERS,FL,33905,287,24,0.2791,0.2858,90340.67,51209.5,23,18,15,0.2798,0.2847,118294.6,56000.0,15,11,2025,possible package-repeat in examples,https://jajdonghomesinc.com/,239-770-7720,jajdonghomes@gmail.com,https://jajdonghomesinc.com/ | https://www.buildzoom.com/contractor/jaj-dong-homes-inc | https://www.bizapedia.com/fl/jaj-dong-homes-inc.html,high,"Official builder website lists email/phone; /contact returned 404, so use homepage contact info."
