generatedAt,county,targetPlaces,sourceType,label,url,use,probeStatus,probeFinalUrl,probeTitle,blocked,probeError
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,auction-platform,Orange RealTaxDeed home,https://orange.realtaxdeed.com/,Upcoming/prior case list if your Mac browser can open it; export/print/upload if accessible.,200,https://orange.realtaxdeed.com/,RealForeclose- Orange County -Splash Page,False,
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,auction-calendar,Orange RealTaxDeed calendar,https://orange.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR,Manual upcoming sale calendar.,200,https://orange.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR,,False,
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,clerk-court-records,Orange Clerk court records search,https://myeclerk.myorangeclerk.com/,Search tax deed cases/notices by case number/name when RealTaxDeed is blocked.,200,https://myeclerk.myorangeclerk.com/,Orange County Clerk of Courts Records Search,False,
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,official-records,Orange County Comptroller Official Records,https://or.occompt.com/recorder/web/,Recorded tax deed/grantee route. Search doc type/party/date; export result rows or PDFs.,200,https://or.occompt.com/recorder/web/,,False,
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,official-records-doc-search,Orange Official Records document search path,https://or.occompt.com/recorder/eagleweb/docSearch.jsp,May redirect to login/accept page; use for Tax Deed doc type and grantee extraction.,200,https://or.occompt.com/recorder/web/login.jsp,,False,
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,property-appraiser-parcel,Orange OCPA parcel search,https://ocpaweb.ocpafl.org/Searches/ParcelSearch.aspx,"Parcel id, situs, owner/mailing, land/improvement values, property use.",200,https://ocpaweb.ocpafl.org/Searches/ParcelSearch.aspx,Orange County Property Appraiser,False,
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,property-appraiser-name,Orange OCPA owner/name search,https://ocpaweb.ocpafl.org/Searches/NameSearch.aspx,Cross-check grantee/owner names from official records.,200,https://ocpaweb.ocpafl.org/Searches/NameSearch.aspx,Orange County Property Appraiser,False,
2026-07-25T01:19:38.726489+00:00,Orange,Winter Park; Maitland Orange side; Winter Garden; Windermere; Dr Phillips; College Park,tax-collector,Orange Tax Collector,https://www.octaxcol.com/,Tax/payoff context; use only after parcel identified.,,https://www.octaxcol.com/,,True,<HTTPError 403: 'Forbidden'>
2026-07-25T01:19:38.726489+00:00,Lake,Clermont,auction-platform,Lake RealTaxDeed home,https://lake.realtaxdeed.com/,"Try on Mac. If accessible, export/print upcoming and prior case rows.",200,https://lake.realtaxdeed.com/,RealForeclose- Lake County -Splash Page,False,
2026-07-25T01:19:38.726489+00:00,Lake,Clermont,auction-calendar,Lake RealTaxDeed calendar,https://lake.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR,Manual upcoming sale calendar.,200,https://lake.realtaxdeed.com/index.cfm?zaction=USER&zmethod=CALENDAR,,False,
