parcelId,market,address,severity,missing,reason
118 17701,knoxville-tn,"KGIS parcel 118 17701, Knoxville, TN",3,ownerContact|pricing|buildability,
071PA021,knoxville-tn,"KGIS parcel 071PA021, Knoxville, TN",3,ownerContact|pricing|buildability,
108AD014,knoxville-tn,"KGIS parcel 108AD014, Knoxville, TN",3,ownerContact|pricing|buildability,
154FB034,knoxville-tn,"KGIS parcel 154FB034, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA013,knoxville-tn,"KGIS parcel 154FA013, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA055,knoxville-tn,"KGIS parcel 154FA055, Knoxville, TN",3,ownerContact|pricing|buildability,
082PE024,knoxville-tn,"KGIS parcel 082PE024, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA064,knoxville-tn,"KGIS parcel 154FA064, Knoxville, TN",3,ownerContact|pricing|buildability,
081MR018,knoxville-tn,"KGIS parcel 081MR018, Knoxville, TN",3,ownerContact|pricing|buildability,
081MW001,knoxville-tn,"KGIS parcel 081MW001, Knoxville, TN",3,ownerContact|pricing|buildability,
081NP013,knoxville-tn,"KGIS parcel 081NP013, Knoxville, TN",3,ownerContact|pricing|buildability,
094DJ013,knoxville-tn,"KGIS parcel 094DJ013, Knoxville, TN",3,ownerContact|pricing|buildability,
082IG019,knoxville-tn,"KGIS parcel 082IG019, Knoxville, TN",3,ownerContact|pricing|buildability,
082IG017,knoxville-tn,"KGIS parcel 082IG017, Knoxville, TN",3,ownerContact|pricing|buildability,
081MW003,knoxville-tn,"KGIS parcel 081MW003, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA063,knoxville-tn,"KGIS parcel 154FA063, Knoxville, TN",3,ownerContact|pricing|buildability,
108AD004,knoxville-tn,"KGIS parcel 108AD004, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA03601,knoxville-tn,"KGIS parcel 154FA03601, Knoxville, TN",3,ownerContact|pricing|buildability,
082IG020,knoxville-tn,"KGIS parcel 082IG020, Knoxville, TN",3,ownerContact|pricing|buildability,
094CE007,knoxville-tn,"KGIS parcel 094CE007, Knoxville, TN",3,ownerContact|pricing|buildability,
094EN011,knoxville-tn,"KGIS parcel 094EN011, Knoxville, TN",3,ownerContact|pricing|buildability,
081NJ011,knoxville-tn,"KGIS parcel 081NJ011, Knoxville, TN",3,ownerContact|pricing|buildability,
081NP010,knoxville-tn,"KGIS parcel 081NP010, Knoxville, TN",3,ownerContact|pricing|buildability,
082HL019,knoxville-tn,"KGIS parcel 082HL019, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA067,knoxville-tn,"KGIS parcel 154FA067, Knoxville, TN",3,ownerContact|pricing|buildability,
154FF010,knoxville-tn,"KGIS parcel 154FF010, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA04201,knoxville-tn,"KGIS parcel 154FA04201, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA04001,knoxville-tn,"KGIS parcel 154FA04001, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA03901,knoxville-tn,"KGIS parcel 154FA03901, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA04101,knoxville-tn,"KGIS parcel 154FA04101, Knoxville, TN",3,ownerContact|pricing|buildability,
108AC013,knoxville-tn,"KGIS parcel 108AC013, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA059,knoxville-tn,"KGIS parcel 154FA059, Knoxville, TN",3,ownerContact|pricing|buildability,
082IG018,knoxville-tn,"KGIS parcel 082IG018, Knoxville, TN",3,ownerContact|pricing|buildability,
081OR011,knoxville-tn,"KGIS parcel 081OR011, Knoxville, TN",3,ownerContact|pricing|buildability,
081OR010,knoxville-tn,"KGIS parcel 081OR010, Knoxville, TN",3,ownerContact|pricing|buildability,
081OR009,knoxville-tn,"KGIS parcel 081OR009, Knoxville, TN",3,ownerContact|pricing|buildability,
094DF010,knoxville-tn,"KGIS parcel 094DF010, Knoxville, TN",3,ownerContact|pricing|buildability,
094DH019,knoxville-tn,"KGIS parcel 094DH019, Knoxville, TN",3,ownerContact|pricing|buildability,
082PE030,knoxville-tn,"KGIS parcel 082PE030, Knoxville, TN",3,ownerContact|pricing|buildability,
081MW002,knoxville-tn,"KGIS parcel 081MW002, Knoxville, TN",3,ownerContact|pricing|buildability,
081NJ012,knoxville-tn,"KGIS parcel 081NJ012, Knoxville, TN",3,ownerContact|pricing|buildability,
082IG016,knoxville-tn,"KGIS parcel 082IG016, Knoxville, TN",3,ownerContact|pricing|buildability,
094EJ007,knoxville-tn,"KGIS parcel 094EJ007, Knoxville, TN",3,ownerContact|pricing|buildability,
082HL023,knoxville-tn,"KGIS parcel 082HL023, Knoxville, TN",3,ownerContact|pricing|buildability,
154FF015,knoxville-tn,"KGIS parcel 154FF015, Knoxville, TN",3,ownerContact|pricing|buildability,
094DA023,knoxville-tn,"KGIS parcel 094DA023, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA060,knoxville-tn,"KGIS parcel 154FA060, Knoxville, TN",3,ownerContact|pricing|buildability,
154FB035,knoxville-tn,"KGIS parcel 154FB035, Knoxville, TN",3,ownerContact|pricing|buildability,
082PB011,knoxville-tn,"KGIS parcel 082PB011, Knoxville, TN",3,ownerContact|pricing|buildability,
094CE015,knoxville-tn,"KGIS parcel 094CE015, Knoxville, TN",3,ownerContact|pricing|buildability,
094CE010,knoxville-tn,"KGIS parcel 094CE010, Knoxville, TN",3,ownerContact|pricing|buildability,
081MS01601,knoxville-tn,"KGIS parcel 081MS01601, Knoxville, TN",3,ownerContact|pricing|buildability,
081OD033,knoxville-tn,"KGIS parcel 081OD033, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA03801,knoxville-tn,"KGIS parcel 154FA03801, Knoxville, TN",3,ownerContact|pricing|buildability,
108AK001,knoxville-tn,"KGIS parcel 108AK001, Knoxville, TN",3,ownerContact|pricing|buildability,
107EL023,knoxville-tn,"KGIS parcel 107EL023, Knoxville, TN",3,ownerContact|pricing|buildability,
082HL008,knoxville-tn,"KGIS parcel 082HL008, Knoxville, TN",3,ownerContact|pricing|buildability,
094CE005,knoxville-tn,"KGIS parcel 094CE005, Knoxville, TN",3,ownerContact|pricing|buildability,
154FA033,knoxville-tn,"KGIS parcel 154FA033, Knoxville, TN",3,ownerContact|pricing|buildability,
