parcelId,market,address,severity,missing,reason
LEH-002,lehigh,"711 Meadow Rd, Lehigh Acres, FL",2,ownerContact|buildability,
274527L4110560090,lehigh,"1050 BELL BLVD S LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L4050250140,lehigh,"183 TOWNSEND CT LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L2120570060,lehigh,"385 URSULA LN LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L4160770060,lehigh,"415 MURIEL ST LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L3241590190,lehigh,"1923 MILSTEAD AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L3271740210,lehigh,"1915 OVERLAND AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L4301980040,lehigh,"553 ROSCOE ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2190990140,lehigh,"310 ROSANNA AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L4060280090,lehigh,"1907 WELLER AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L1090410210,lehigh,"262 LAKERIDGE BLVD LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L1090440210,lehigh,"2155 WINNETKA DR LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L1090470160,lehigh,"280 LAKERIDGE BLVD LEHIGH ACRES, FL",2,ownerContact|buildability,
274527L4110560080,lehigh,"1048 BELL BLVD S LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L3271740140,lehigh,"500 WOODMAN DR LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L4050230090,lehigh,"190 GREENBRIAR BLVD LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L1090420180,lehigh,"2136 WINNETKA DR LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L1090440050,lehigh,"2150 VISCOUNT AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L1090440160,lehigh,"2145 WINNETKA DR LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L1090440170,lehigh,"2147 WINNETKA DR LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L2100510060,lehigh,"331 ROBERTA CT LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L2100510160,lehigh,"311 NAGLE CT LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L1120570050,lehigh,"387 URSULA LN LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L1130630110,lehigh,"411 MCLEAN CIR LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L3231480070,lehigh,"459 WINDERMERE DR LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L4291960070,lehigh,"543 MERRYWOOD AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L4301980050,lehigh,"551 ROSCOE ST LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L1312070100,lehigh,"524 SARGENT ST LEHIGH ACRES, FL",2,ownerContact|buildability,
084427L1291920020,lehigh,"1870 MAIDEN ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2191000070,lehigh,"303 ROSANNA AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2191040030,lehigh,"311 JOHANNA AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2191050150,lehigh,"312 JOHANNA AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2191070030,lehigh,"311 SPOKANE AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2201120030,lehigh,"1854 TULIP ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2201120100,lehigh,"1847 MONTANA ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2201130130,lehigh,"1853 TULIP ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2201150140,lehigh,"334 SAPPHIRE ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L1211210210,lehigh,"371 WILKINS ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L1221300160,lehigh,"1825 RICHMOND AVE N LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L1221310170,lehigh,"1827 MARSON ST LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L1221390050,lehigh,"440 VANETTA DR LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L3271700120,lehigh,"1929 OVERLAND AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L3040190200,lehigh,"2007 WELBY LN LEHIGH ACRES, FL",2,ownerContact|buildability,
034427L4040190330,lehigh,"168 GREENBRIAR BLVD LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L2120560260,lehigh,"418 LAKERIDGE BLVD LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L4160770270,lehigh,"430 WINDERMERE DR LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L4160780110,lehigh,"403 YOLANDA ST LEHIGH ACRES, FL",2,ownerContact|buildability,
044427L2100510250,lehigh,"308 LAKERIDGE BLVD LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L3231480050,lehigh,"463 WINDERMERE DR LEHIGH ACRES, FL",2,ownerContact|buildability,
054427L3271720040,lehigh,"1930 MONTERO AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
094427L2191040020,lehigh,"313 JOHANNA AVE LEHIGH ACRES, FL",2,ownerContact|buildability,
LEH-001,lehigh,"123 Grant Blvd, Lehigh Acres, FL",0,,
LEH-003,lehigh,"508 Meadowbrook Ave, Lehigh Acres, FL",0,,
