builderName,islandMarket,publicContactPath,phone,email,officialWebsite,officialEvidenceUrl,googleMapsSearchUrl_contextOnly,confidence,businessProfileAnnotation,sourceUrls
Gentry Homes,Oahu: Ewa Beach/Kapolei/Kalaeloa,https://www.gentryhawaii.com/contact/,808-447-8430; 808-599-5558; 808-685-0811; 808-689-5840,CustomerService@GentryHawaii.com,https://www.gentryhawaii.com/,https://www.gentryhawaii.com/,https://www.google.com/maps/search/?api=1&query=Gentry%20Homes%20Oahu%3A%20Ewa%20Beach/Kapolei/Kalaeloa%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: builder website. Activity signal: Official site markets active Oahu communities; contact page live with sales/customer-service phones. contact URL returned HTTP 200 on 2026-07-08.",https://www.gentryhawaii.com/; https://www.gentryhawaii.com/contact/; https://www.google.com/maps/search/?api=1&query=Gentry%20Homes%20Oahu%3A%20Ewa%20Beach/Kapolei/Kalaeloa%20Hawaii
Kobayashi Group,Oahu: Honolulu/Kakaako/Luxury & affordable residential,https://www.kobayashi-group.com/contact/,+1.808.524.1508,info@kobayashi-group.com,https://www.kobayashi-group.com/,https://www.kobayashi-group.com/contact/,https://www.google.com/maps/search/?api=1&query=Kobayashi%20Group%20Oahu%3A%20Honolulu/Kakaako/Luxury%20%26%20affordable%20residential%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: developer website. Activity signal: Official contact page live; residential project categories on site. contact URL returned HTTP 200 on 2026-07-08.",https://www.kobayashi-group.com/; https://www.kobayashi-group.com/contact/; https://www.google.com/maps/search/?api=1&query=Kobayashi%20Group%20Oahu%3A%20Honolulu/Kakaako/Luxury%20%26%20affordable%20residential%20Hawaii
Armstrong Builders LLC,Oahu: Honolulu/islandwide residential + development,https://www.armstrongbuilders.com/contact-us/,(808) 848-2484; (808) 842-0527,info@armstrongbuilders.com,https://www.armstrongbuilders.com/,https://www.armstrongbuilders.com/contact-us/,https://www.google.com/maps/search/?api=1&query=Armstrong%20Builders%20LLC%20Oahu%3A%20Honolulu/islandwide%20residential%20%2B%20development%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: builder website. Activity signal: Official contact page live; established Hawaii residential builder/developer site. contact URL returned HTTP 200 on 2026-07-08.",https://www.armstrongbuilders.com/; https://www.armstrongbuilders.com/contact-us/; https://www.google.com/maps/search/?api=1&query=Armstrong%20Builders%20LLC%20Oahu%3A%20Honolulu/islandwide%20residential%20%2B%20development%20Hawaii
Graham Builders,Oahu: Honolulu/islandwide custom homes/ADU/remodel,https://www.grahambuilders.com/contact-us/,808.593.2808; 808.591.9294,ClientCare@grahambuilders.com,https://www.grahambuilders.com/,https://www.grahambuilders.com/contact-us/,https://www.google.com/maps/search/?api=1&query=Graham%20Builders%20Oahu%3A%20Honolulu/islandwide%20custom%20homes/ADU/remodel%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: builder website. Activity signal: Official contact page live; custom home builder site active. contact URL returned HTTP 200 on 2026-07-08.",https://www.grahambuilders.com/; https://www.grahambuilders.com/contact-us/; https://www.google.com/maps/search/?api=1&query=Graham%20Builders%20Oahu%3A%20Honolulu/islandwide%20custom%20homes/ADU/remodel%20Hawaii
Mokulua High Performance Builder,Oahu: Kailua/Windward/Oahu custom homes,https://mokuluahpb.com/contact-us,808-263-9663,mike@mokuluahpb.com,https://mokuluahpb.com/,https://mokuluahpb.com/contact-us,https://www.google.com/maps/search/?api=1&query=Mokulua%20High%20Performance%20Builder%20Oahu%3A%20Kailua/Windward/Oahu%20custom%20homes%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: builder website. Activity signal: Official Squarespace contact page live; Kailua/Windward custom/high-performance builder positioning. contact URL returned HTTP 200 and redirected to /contactinformation on 2026-07-08.",https://mokuluahpb.com/; https://mokuluahpb.com/contact-us; https://www.google.com/maps/search/?api=1&query=Mokulua%20High%20Performance%20Builder%20Oahu%3A%20Kailua/Windward/Oahu%20custom%20homes%20Hawaii
All Things New,Oahu: Kapolei/Honolulu County custom homes,https://www.atnhawaii.com/contact,808-230-3385,info@atnhawaii.com; allthingsnewhi@gmail.com,https://www.atnhawaii.com/,https://www.atnhawaii.com/contact,https://www.google.com/maps/search/?api=1&query=All%20Things%20New%20Oahu%3A%20Kapolei/Honolulu%20County%20custom%20homes%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: builder website. Activity signal: Official contact page live; page title markets new home builders/custom construction in Kapolei/Honolulu County. contact URL returned HTTP 200 on 2026-07-08.",https://www.atnhawaii.com/; https://www.atnhawaii.com/contact; https://www.google.com/maps/search/?api=1&query=All%20Things%20New%20Oahu%3A%20Kapolei/Honolulu%20County%20custom%20homes%20Hawaii
Ko‘olau Builders Inc.,Oahu: Windward/Kailua/Kaneohe custom homes,https://koolaubuilders.com/contact-us/,808.349.4539,info@koolaubuilders.com,https://koolaubuilders.com/,https://koolaubuilders.com/contact-us/,https://www.google.com/maps/search/?api=1&query=Ko%E2%80%98olau%20Builders%20Inc.%20Oahu%3A%20Windward/Kailua/Kaneohe%20custom%20homes%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: builder website. Activity signal: Official contact page live; Oahu builder site active. contact URL returned HTTP 200 on 2026-07-08.",https://koolaubuilders.com/; https://koolaubuilders.com/contact-us/; https://www.google.com/maps/search/?api=1&query=Ko%E2%80%98olau%20Builders%20Inc.%20Oahu%3A%20Windward/Kailua/Kaneohe%20custom%20homes%20Hawaii
HPM Homes / HPM Building Supply,Hawaii County / Hilo-Kona-Waimea-Keaau,https://www.hpmhawaii.com/contact,(808) 935-0875,hilo.hdc@hpmhawaii.com; kona.hdc@hpmhawaii.com; waimea.hdc@hpmhawaii.com,https://www.hpmhawaii.com/hpm-homes,https://www.hpmhawaii.com/hpm-homes,https://www.google.com/maps/search/?api=1&query=HPM%20Homes%20/%20HPM%20Building%20Supply%20Hawaii%20County%20/%20Hilo-Kona-Waimea-Keaau%20Hawaii,high,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: Company website. Activity signal: HPM Homes page says packaged home plans and home planning consultants; sitemap/location pages show Hilo, Kona, Waimea, Keaau operations and public emails. contact URL returned HTTP 200 on 2026-07-08.",https://www.hpmhawaii.com/hpm-homes; https://www.hpmhawaii.com/contact; https://www.google.com/maps/search/?api=1&query=HPM%20Homes%20/%20HPM%20Building%20Supply%20Hawaii%20County%20/%20Hilo-Kona-Waimea-Keaau%20Hawaii
Volk Pacific,Maui/Lanai/Molokai possible outer-island luxury,https://www.volkpacific.com/contact,+1 808-879-8866,team@volkpacific.com,https://www.volkpacific.com/,https://www.volkpacific.com/projects,https://www.google.com/maps/search/?api=1&query=Volk%20Pacific%20Maui/Lanai/Molokai%20possible%20outer-island%20luxury%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: portfolio/projects. Activity signal: Projects page and luxury custom vacation homes copy active on site. contact URL returned HTTP 200 on 2026-07-08.",https://www.volkpacific.com/; https://www.volkpacific.com/contact; https://www.volkpacific.com/projects; https://www.google.com/maps/search/?api=1&query=Volk%20Pacific%20Maui/Lanai/Molokai%20possible%20outer-island%20luxury%20Hawaii
Boyd Construction,Maui,https://www.boydmaui.com/contact,(808) 283-8722,info@boydmaui.com,https://www.boydmaui.com/,https://www.boydmaui.com/,https://www.google.com/maps/search/?api=1&query=Boyd%20Construction%20Maui%20Hawaii,High,"Public business-profile pass: use official contact path for non-outreach validation; Google Maps URL is deterministic search context only, not a scraped profile/review source. Phase 1 evidence type: custom/luxury builder website. Activity signal: Yahoo result title: Luxury Custom Home Builder Maui; contact page verified. contact URL returned HTTP 200 on 2026-07-08.",https://www.boydmaui.com/; https://www.boydmaui.com/contact; https://www.google.com/maps/search/?api=1&query=Boyd%20Construction%20Maui%20Hawaii
