rank,builderId,name,phone,email,website,contactLabel,contactStatus,confidence,recentBuilds,topPermit,topPermitAddress,sourceUrl,nextAction
1,knoxville-builder-ball-homes,BALL HOMES,865-862-4774,customerservice@ballhomes.com,https://www.ballhomes.com/Locations/Knoxville/,Knoxville Area Office / customer service,public-office-contact,90,74,25-B1284,8828 KEENBERG LN,https://www.ballhomes.com/contact/,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
2,knoxville-builder-smithbilt-homes,Smithbilt Homes,865-694-8582,,https://smithbilthomes.com/,Main office,public-office-contact,92,70,25-B1211,8362 LAKE VILLAGE CIR,https://smithbilthomes.com/contact/,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
3,knoxville-builder-turner-homes-llc,"Turner Homes, LLC",865-777-1700,info@turnerhomes.com,https://www.turnerhomes.com/,Knoxville office,public-office-contact,96,40,25-B1291,8543 TROUTMAN LN,https://www.turnerhomes.com/contact-us/,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
4,knoxville-builder-cook-bros-homes,Cook Bros Homes,865-325-2500,juliem@cookbroshomes.com,https://www.cookbroshomes.com/,Sales inquiries,public-sales-contact,96,30,25-B1350,3725 CRIMSON CLOVER LN,https://cookbroshomes.com/contact.php,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
5,knoxville-builder-maggie-watson-of-clayton-properties-group-inc-db,"Maggie Watson of CLAYTON PROPERTIES GROUP, INC DBA GOODALL HOMES",615-989-6223,,https://www.goodallhomes.com/communities/knoxville-area,Online sales / Knoxville area contact,public-office-contact,90,26,BP-2025-84,450 IVEY FARMS RD,https://www.goodallhomes.com/contact-us,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
6,knoxville-builder-robert-mohney-of-saddlebrook-properties-llc,"ROBERT MOHNEY of SADDLEBROOK PROPERTIES, LLC",865-966-8700,info@saddlebrookproperties.com,https://www.saddlebrookproperties.com/,Saddlebrook Properties office,public-office-contact,88,26,BP-2025-266,1325 WAGON HITCH RD,https://www.saddlebrookproperties.com/,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
7,knoxville-builder-worley-builders-inc,"Worley Builders, Inc.",865-850-2117,sales@worleybuildersinc.com,https://worleybuildersinc.com/,Sales line,public-sales-contact,96,19,25-B1312,3462 SPARKS SCENIC WAY,https://worleybuildersinc.com/contact-us/,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
8,knoxville-builder-curbed-construction-llc,CURBED CONSTRUCTION LLC,423-488-6920,info@curbedconstruction.com,https://www.curbedconstruction.com/,Main office,public-office-contact-verify-market,82,15,IRC-NEW-25-0224,2604 SEVIER AVE APT 101,https://www.curbedconstruction.com/contact,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
9,knoxville-builder-davinci-design-and-contracting-llc,DAVINCI DESIGN AND CONTRACTING LLC,865-321-1310,,,Directory-listed contractor phone,directory-contact-human-review,62,15,IRC-NEW-24-0958,1118 MERCER ST,https://www.buildzoom.com/contractor/davinci-design-and-contracting,Call public business contact and capture exact buy box; do not promote to validated buyer until price/geography/lot/kill criteria are captured.
10,knoxville-builder-definity-construction-llc,DEFINITY CONSTRUCTION LLC,,,,Contact not verified,find-contact,45,13,IRC-NEW-25-0170,1908 AMHERST RD,https://www.buildzoom.com/contractor/definity-construction-llc,Find official business-facing contact before calling; keep permit signal in buyer-validation research.
