rank,buyerId,name,phone,email,website,contactLabel,contactStatus,confidence,lehighCurrentHoldings,countLots30kPlus,avgAcres30kPlus,avgPrice30kPlus,countLots50kPlus,avgAcres50kPlus,avgPrice50kPlus,sourceUrl,nextAction,notes
1,lehigh-buyer-gn1-investing-llc,GN1 INVESTING LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,107,73,0.2436,235436.14,56,0.2429,296375.68,https://www.bizprofile.net/fl/lehigh-acres/gn1-investing-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/GN1%20INVESTING%20LLC/Page1,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 107. 30k+ lots: 73, avg acres 0.2436, avg price $235436.14. 50k+ lots: 56, avg acres 0.2429, avg price $296375.68. Package caution: possible package-repeat in examples."
2,lehigh-buyer-wei-song-realty-investment-llc,WEI SONG REALTY INVESTMENT LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,126,67,0.2727,117817.91,42,0.2726,163928.57,https://www.bizprofile.net/fl/fort-myers/wei-song-realty-investment | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/WEI%20SONG%20REALTY%20INVESTMENT%20LLC/Page1,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 126. 30k+ lots: 67, avg acres 0.2727, avg price $117817.91. 50k+ lots: 42, avg acres 0.2726, avg price $163928.57. Package caution: possible package-repeat in examples."
3,lehigh-buyer-d-r-horton-inc,D R HORTON INC,817.390.8200,InvestorRelations@drhorton.com,https://www.drhorton.com,Lehigh repeat vacant-lot buyer,public-contact-found,85,36,32,0.2491,160281.19,25,0.251,193799.92,https://www.drhorton.com/florida/southwest-florida | https://investor.drhorton.com/resources/investor-contact,Call/email public business contact and validate Lehigh Acres vacant-lot buy box.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 36. 30k+ lots: 32, avg acres 0.2491, avg price $160281.19. 50k+ lots: 25, avg acres 0.251, avg price $193799.92. Package caution: possible package-repeat in examples."
4,lehigh-buyer-sanchez-enterprise-investments,SANCHEZ ENTERPRISE INVESTMENTS,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,37,37,0.2532,219500.59,22,0.2509,344573.86,https://www.bizprofile.net/fl/naples/sanchez-enterprise-investments-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/SANCHEZ%20ENTERPRISE%20INVESTMENTS/Page1,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 37. 30k+ lots: 37, avg acres 0.2532, avg price $219500.59. 50k+ lots: 22, avg acres 0.2509, avg price $344573.86. Package caution: possible package-repeat in examples."
5,lehigh-buyer-inversion-en-florida-usa-inc,INVERSION EN FLORIDA USA INC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,26,27,0.2618,89037.04,22,0.261,100409.09,https://www.flcompanyregistry.com/companies/inversion-en-florida-usa-inc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/INVERSION%20EN%20FLORIDA%20USA%20INC/Page1,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 26. 30k+ lots: 27, avg acres 0.2618, avg price $89037.04. 50k+ lots: 22, avg acres 0.261, avg price $100409.09. Package caution: possible package-repeat in examples."
6,lehigh-buyer-marmelo-llc,MARMELO LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,14,22,0.2474,396347.27,22,0.2474,396347.27,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/MARMELO%20LLC/Page1,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 14. 30k+ lots: 22, avg acres 0.2474, avg price $396347.27. 50k+ lots: 22, avg acres 0.2474, avg price $396347.27. Package caution: possible package-repeat in examples."
7,lehigh-buyer-franco-zegada-llc,FRANCO & ZEGADA LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,54,20,0.2353,130000.0,20,0.2353,130000.0,https://www.bizprofile.net/fl/naples/franco-zegada-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/FRANCO%20%26%20ZEGADA%20LLC/Page1,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 54. 30k+ lots: 20, avg acres 0.2353, avg price $130000.0. 50k+ lots: 20, avg acres 0.2353, avg price $130000.0. Package caution: possible package-repeat in examples."
8,lehigh-buyer-raccah-holdings-llc,RACCAH HOLDINGS LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,29,23,0.243,69213.04,18,0.2419,75188.89,https://www.bizprofile.net/fl/aventura/raccah-holdings-llc | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults/EntityName/RACCAH%20HOLDINGS%20LLC/Page1,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 29. 30k+ lots: 23, avg acres 0.243, avg price $69213.04. 50k+ lots: 18, avg acres 0.2419, avg price $75188.89. Package caution: possible package-repeat in examples."
9,lehigh-buyer-triple-dong-investment-llc,TRIPLE DONG INVESTMENT LLC,,,,Lehigh repeat vacant-lot buyer,needs-public-contact-enrichment,55,28,20,0.2832,68475.0,16,0.2874,75218.75,https://www.bizapedia.com/fl/triple-dong-investment-llc.html | https://www.bizprofile.net/fl/fort-myers/triple-dong-investment-llc,Pull Lee Clerk deed/Sunbiz filing or direct-mail recorded address; do not guess phone/email.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 28. 30k+ lots: 20, avg acres 0.2832, avg price $68475.0. 50k+ lots: 16, avg acres 0.2874, avg price $75218.75. Package caution: possible package-repeat in examples."
10,lehigh-buyer-jaj-dong-homes-inc,JAJ DONG HOMES INC,239-770-7720,jajdonghomes@gmail.com,https://jajdonghomesinc.com/,Lehigh repeat vacant-lot buyer,public-contact-found,85,287,24,0.2791,90340.67,15,0.2798,118294.6,https://jajdonghomesinc.com/ | https://www.buildzoom.com/contractor/jaj-dong-homes-inc | https://www.bizapedia.com/fl/jaj-dong-homes-inc.html,Call/email public business contact and validate Lehigh Acres vacant-lot buy box.,"Lee County/GeoView public-record repeat buyer. Current Lehigh holdings: 287. 30k+ lots: 24, avg acres 0.2791, avg price $90340.67. 50k+ lots: 15, avg acres 0.2798, avg price $118294.6. Package caution: possible package-repeat in examples."
