leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:knoxville-tn:ball-homes,knoxville-tn,BALL HOMES,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:smithbilt-homes,knoxville-tn,Smithbilt Homes,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:turner-homes-llc,knoxville-tn,"Turner Homes, LLC",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:cook-bros-homes,knoxville-tn,Cook Bros Homes,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:maggie-watson-of-clayton-properties-group-inc-dba-goodall-homes,knoxville-tn,"Maggie Watson of CLAYTON PROPERTIES GROUP, INC DBA GOODALL HOMES",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:robert-mohney-of-saddlebrook-properties-llc,knoxville-tn,"ROBERT MOHNEY of SADDLEBROOK PROPERTIES, LLC",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:worley-builders-inc,knoxville-tn,"Worley Builders, Inc.",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:curbed-construction-llc,knoxville-tn,CURBED CONSTRUCTION LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:davinci-design-and-contracting-llc,knoxville-tn,DAVINCI DESIGN AND CONTRACTING LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:definity-construction-llc,knoxville-tn,DEFINITY CONSTRUCTION LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:oakwood-homes,knoxville-tn,oakwood homes,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:cress-company-inc,knoxville-tn,CRESS COMPANY INC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:oakland-llc,knoxville-tn,Oakland LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:clayton-homes,knoxville-tn,Clayton Homes,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:hmh-construction-inc,knoxville-tn,HMH Construction Inc,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:northshore-construction-llc,knoxville-tn,Northshore Construction LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:rock-creek-construction-inc,knoxville-tn,"ROCK CREEK CONSTRUCTION, INC",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:saddlebrook-properties-llc,knoxville-tn,Saddlebrook Properties LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:bartholomew-development-inc,knoxville-tn,BARTHOLOMEW DEVELOPMENT INC.,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:cmh-homes-inc-dba-oakwood-homes-373,knoxville-tn,"CMH HOMES, INC. DBA OAKWOOD HOMES #373",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:harrigan-construction-company-llc,knoxville-tn,"HARRIGAN CONSTRUCTION COMPANY, LLC",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:healy-homes,knoxville-tn,Healy Homes,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:stanley-homes-llc,knoxville-tn,STANLEY HOMES LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:rp-homes-llc,knoxville-tn,"RP Homes, LLC",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:anderson-builders,knoxville-tn,ANDERSON BUILDERS,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:j-a-fielden-co-inc,knoxville-tn,"J.A. FIELDEN CO., INC.",,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:jay-s-construction-and-remodeling,knoxville-tn,JAY'S CONSTRUCTION AND REMODELING,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:monolith-construction-llc,knoxville-tn,MONOLITH CONSTRUCTION LLC,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:summit-contracting-group-inc,knoxville-tn,SUMMIT CONTRACTING GROUP INC.,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
buyer:knoxville-tn:aurora-inc,knoxville-tn,Aurora Inc,,,,,"Public KGIS permit signal only. Call contractor/developer to capture exact lot buy box, max price, close speed, and kill criteria before treating as validated demand.",100
