leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:forsyth-ga:lennar,forsyth-ga,Lennar,,,https://www.lennar.com/new-homes/georgia/atlanta,,,78
buyer:forsyth-ga:pulte-homes,forsyth-ga,Pulte Homes,,,https://www.pulte.com/homes/georgia/atlanta,,,88
buyer:forsyth-ga:taylor-morrison-of-georgia-llc,forsyth-ga,"Taylor Morrison of Georgia, LLC",770-741-0218,ContactAtlanta@taylormorrison.com,https://www.taylormorrison.com/ga/atlanta,,,88
buyer:forsyth-ga:century-communities-century-complete,forsyth-ga,Century Communities / Century Complete,,,https://www.centurycommunities.com/find-your-new-home/georgia/atlanta-metro/,,,78
buyer:forsyth-ga:toll-brothers,forsyth-ga,Toll Brothers,,,https://www.tollbrothers.com/luxury-homes/Georgia,,,78
buyer:forsyth-ga:david-weekley-homes,forsyth-ga,David Weekley Homes,,,https://www.davidweekleyhomes.com/new-homes/ga/atlanta,,,78
buyer:forsyth-ga:ashton-woods,forsyth-ga,Ashton Woods,,,https://www.ashtonwoods.com/atlanta,,,78
buyer:forsyth-ga:beazer-homes,forsyth-ga,Beazer Homes,,,https://www.beazer.com/atlanta-GA,,,78
buyer:forsyth-ga:fischer-homes,forsyth-ga,Fischer Homes,,,https://www.fischerhomes.com/find-new-homes/atlanta/georgia,,,78
buyer:forsyth-ga:the-providence-group,forsyth-ga,The Providence Group,,,https://theprovidencegroup.com/,,,78
buyer:forsyth-ga:peachtree-residential,forsyth-ga,Peachtree Residential,,,https://www.peachtreeresidential.com/,,,78
buyer:forsyth-ga:southvine-homes,forsyth-ga,Southvine Homes,,,https://southvinehomes.com/,,,78
buyer:forsyth-ga:kerley-family-homes,forsyth-ga,Kerley Family Homes,,,https://www.kerleyfamilyhomes.com/,,,78
buyer:forsyth-ga:chafin-communities,forsyth-ga,Chafin Communities,,,https://www.chafincommunities.com/,,,78
buyer:forsyth-ga:d-r-horton,forsyth-ga,D.R. Horton,,,https://www.drhorton.com/georgia/atlanta,,,66
buyer:forsyth-ga:meritage-homes,forsyth-ga,Meritage Homes,,,https://www.meritagehomes.com/state/ga/atlanta,,,66
buyer:forsyth-ga:stanley-martin-homes,forsyth-ga,Stanley Martin Homes,,,https://www.stanleymartin.com/georgia/atlanta,,,66
buyer:forsyth-ga:lgi-homes,forsyth-ga,LGI Homes,,,https://www.lgihomes.com/georgia/atlanta,,,78
