leadId,market,name,phone,email,website,contactName,buyBox,confidence
buyer:polk-fl:stanley-martin-homes-llc,polk-fl,STANLEY MARTIN HOMES LLC,2529133593,orlandpermitting@stanleymartin.com,,STANLEY MARTIN HOMES LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",100
buyer:polk-fl:lgi-homes-florida-llc,polk-fl,"LGI HOMES - FLORIDA, LLC",3214433640,brandon.koehler@lgihomes.com,,"LGI HOMES - FLORIDA, LLC","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",100
buyer:polk-fl:lennar-homes-llc,polk-fl,"LENNAR HOMES, LLC",4076644126,Permits@jbvexpediting.com,,"LENNAR HOMES, LLC","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",100
buyer:polk-fl:d-r-horton-inc,polk-fl,"D. R. HORTON, INC.",4078505200,earnold@drhorton.com,,"D. R. HORTON, INC.","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",100
buyer:polk-fl:ryan-homes,polk-fl,RYAN HOMES,8137397425,aalden@nvrinc.com,,RYAN HOMES,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",100
buyer:polk-fl:m-i-homes-3-easton-oval-columbus-oh,polk-fl,"M/I HOMES 3 EASTON OVAL COLUMBUS, OH",8133166176,tampalicense@mihomes.com,,"M/I HOMES 3 EASTON OVAL COLUMBUS, OH","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",98
buyer:polk-fl:maronda-homes-llc-of-florida,polk-fl,"MARONDA HOMES, LLC OF FLORIDA",4073029871,permittingorl1@maronda.com,,"MARONDA HOMES, LLC OF FLORIDA","Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",74
buyer:polk-fl:custom-florida-renovations-llc,polk-fl,CUSTOM FLORIDA RENOVATIONS LLC,3862185455,chuck@cflrenovations.com,,CUSTOM FLORIDA RENOVATIONS LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",68
buyer:polk-fl:highland-homes,polk-fl,HIGHLAND HOMES,2466197103,permitting@highlandhomes.org,,HIGHLAND HOMES,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",68
buyer:polk-fl:kb-home-orlando-llc,polk-fl,KB HOME ORLANDO LLC,4075924187,anthony@permitspermitspermits.com,,KB HOME ORLANDO LLC,"Public Polk County Accela residential-new permit signal only. Call builder to capture exact Polk/Lakeland land buy box, max price, closing speed, parcel constraints, utility requirements, and deal killers.",68
